recorded_at_utc,config_name,experiment_name,output_dir,model_path,evaluation_start,evaluation_end,baseline_tag,summary_num_trades,summary_win_rate,summary_loss_rate,summary_breakeven_rate,summary_expectancy_r,summary_profit_factor,summary_average_r,summary_median_r,summary_average_win_r,summary_average_loss_r,summary_payoff_ratio,summary_gross_profit_r,summary_gross_loss_r,summary_net_profit_r,summary_best_trade_r,summary_worst_trade_r,summary_max_drawdown_r,summary_ending_equity_r,summary_peak_equity_r,summary_recovery_factor,summary_sharpe_like,summary_sortino_like,summary_ulcer_index,summary_return_std_r,summary_sqn,summary_longest_win_streak,summary_longest_losing_streak,summary_longest_flat_streak,summary_winning_streaks,summary_losing_streaks,summary_trades_per_day,summary_daily_trade_count_min,summary_daily_trade_count_max,summary_daily_trade_count_median,summary_daily_trade_count_p90,summary_average_risk_fraction,summary_median_risk_fraction,summary_min_risk_fraction,summary_max_risk_fraction,summary_active_days,summary_first_trade_timestamp,summary_last_trade_timestamp,summary_final_balance,diag_daily_periods,diag_daily_win_rate,diag_daily_average_return_r,diag_daily_average_win_return_r,diag_daily_average_loss_return_r,diag_daily_best_return_r,diag_daily_worst_return_r,diag_weekly_periods,diag_weekly_win_rate,diag_weekly_average_return_r,diag_weekly_average_win_return_r,diag_weekly_average_loss_return_r,diag_weekly_best_return_r,diag_weekly_worst_return_r,diag_monthly_periods,diag_monthly_win_rate,diag_monthly_average_return_r,diag_monthly_average_win_return_r,diag_monthly_average_loss_return_r,diag_monthly_best_return_r,diag_monthly_worst_return_r,diag_average_winning_day_profit_r,diag_average_losing_day_loss_r,diag_average_risk_per_trade_by_expert_liquidity_sweep_reversal,diag_average_risk_per_trade_by_expert_session_open_momentum,diag_average_risk_per_trade_by_expert_trend_continuation,diag_days_to_pass_from_start,diag_pass_within_10d,diag_pass_within_20d,diag_pass_within_30d,diag_pass_10d_eligible_starts,diag_pass_20d_eligible_starts,diag_pass_30d_eligible_starts,diag_rolling_pass_days_min,diag_rolling_pass_days_max,perf_bars,perf_loop_seconds,perf_inference_seconds,perf_expert_precompute_seconds,perf_bars_per_second,diag_average_risk_per_trade_by_expert_pullback_continuation,cost_model_version,cost_model_hash,cost_model_parameters,diag_active_expert_count,diag_experts_with_positive_expectancy,diag_experts_with_confident_positive_expectancy,diag_max_expert_usage_share,gate_status,gate_passed,gate_thresholds_min_routed_share_per_active_expert,gate_thresholds_min_executed_trades_per_active_expert,gate_thresholds_min_active_experts,gate_observed_total_routed_trades,gate_observed_active_experts,gate_observed_active_expert_names,gate_observed_expert_trade_counts_trend_continuation,gate_observed_expert_trade_counts_session_open_momentum,gate_observed_expert_trade_counts_liquidity_sweep_reversal,gate_observed_expert_routed_share_trend_continuation,gate_observed_expert_routed_share_session_open_momentum,gate_observed_expert_routed_share_liquidity_sweep_reversal,gate_checks_minimum_active_experts,gate_checks_minimum_routed_share_per_active_expert,gate_checks_minimum_executed_trade_count_per_active_expert
2026-05-01T08:55:06.308549+00:00,configs/dev_quality_postfix.yaml,dev_quality_postfix,artifacts\realtime_backtest\dev_quality_postfix,,2026-04-20 18:04:00+00:00,2026-04-27 05:59:00+00:00,,295,0.3864406779661017,0.6135593220338983,0.0,-1.778013977057614e-06,0.5956149826712435,-1.778013977057614e-06,-4.804985771828931e-06,6.776772288009396e-06,-7.166111403674403e-06,0.9456694023113602,0.000772552040833,-0.001297066164065,-0.0005245141232319,3.346675277229395e-05,-1.8638748366762853e-05,-0.0005657877423118,-0.0005245141232319,3.376932482588532e-06,-0.927051054674316,-3.484321227345061,-9.426128579052742,0.0003480166700643,8.100601243030254e-06,-3.769892135904616,5,9,0,65,65,59.0,3,94,71.0,93.2,0.009,0.009,0.009,0.009,5,2026-04-20 22:05:00+00:00,2026-04-24 16:35:00+00:00,99942.24031979668,5,0.0,-0.0001049028246463,0.0,-0.0001049028246463,-2.7186706395476324e-06,-0.0002385348231009,2,0.0,-0.0002622570616159,0.0,-0.0002622570616159,-2.7186706395476324e-06,-0.0005217954525924,1,0.0,-0.0005245141232319,0.0,-0.0005245141232319,-0.0005245141232319,-0.0005245141232319,0.0,-0.0001049028246463,0.0089999999999999,0.009,0.009,,,,,0,0,0,,,5940.0,4.762553699954879,4.622015599743463,51.41997350001475,1247.2290884609592,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-01T08:55:20.108509+00:00,configs/dev_quality.yaml,dev_quality,artifacts/experiments/dev_quality/backtest_eval,,2026-04-24T00:03:00+00:00,2026-04-24T08:02:00+00:00,baseline_pre_fix,23,0.2608695652173913,0.7391304347826086,0.0,0.4781108695652174,11.968580120692232,0.4781108695652174,-0.00015,1.99985,-0.0589735294117647,33.91097700862799,11.9991,-1.0025500000000005,10.99655,1.99985,-1.00015,-1.00015,10.996550000000006,10.99865,10.994900764885273,8.192732919238193,32.25654272965334,0.2041570989254761,0.9264032935940226,2.4750982598558844,3,14,0,3,4,23.0,23,23,23.0,23.0,0.009,0.009,0.009,0.009,1,2026-04-24 00:03:00+00:00,2026-04-24 08:02:00+00:00,,1,1.0,10.99655,10.99655,0.0,10.99655,10.99655,1,1.0,10.99655,10.99655,0.0,10.99655,10.99655,1,1.0,10.99655,10.99655,0.0,10.99655,10.99655,10.99655,0.0,,,,,,,,0,0,0,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-01T10:11:11.222701+00:00,configs/dev_quality_postfix.yaml,dev_quality_postfix,C:\Users\khoua\Desktop\MoE\artifacts\realtime_backtest\dev_quality_postfix_1y,C:\Users\khoua\Desktop\MoE\artifacts\experiments\dev_quality_postfix\split_03\model.pt,2026-04-20 18:04:00+00:00,2026-04-27 05:59:00+00:00,postfix_1y_eval,295,0.3864406779661017,0.6135593220338983,0.0,-1.778013977057614e-06,0.5956149826712435,-1.778013977057614e-06,-4.804985771828931e-06,6.776772288009396e-06,-7.166111403674403e-06,0.9456694023113602,0.000772552040833,-0.001297066164065,-0.0005245141232319,3.346675277229395e-05,-1.8638748366762853e-05,-0.0005657877423118,-0.0005245141232319,3.376932482588532e-06,-0.927051054674316,-3.484321227345061,-9.426128579052742,0.0003480166700643,8.100601243030254e-06,-3.769892135904616,5,9,0,65,65,59.0,3,94,71.0,93.2,0.009,0.009,0.009,0.009,5,2026-04-20 22:05:00+00:00,2026-04-24 16:35:00+00:00,99942.24031979668,5,0.0,-0.0001049028246463,0.0,-0.0001049028246463,-2.7186706395476324e-06,-0.0002385348231009,2,0.0,-0.0002622570616159,0.0,-0.0002622570616159,-2.7186706395476324e-06,-0.0005217954525924,1,0.0,-0.0005245141232319,0.0,-0.0005245141232319,-0.0005245141232319,-0.0005245141232319,0.0,-0.0001049028246463,0.0089999999999999,0.009,0.009,,,,,0,0,0,,,5940.0,4.022585600032471,3.902988299960272,63.50691410002764,1476.6612936773586,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-01T12:23:25.982931+00:00,configs/dev_quality_postfix.yaml,dev_quality_postfix,C:\Users\khoua\Desktop\MoE\artifacts\realtime_backtest\dev_quality_postfix_1y,C:\Users\khoua\Desktop\MoE\artifacts\experiments\dev_quality_postfix\split_03\model.pt,2025-04-27 22:03:00+00:00,2026-04-27 05:59:00+00:00,postfix_1y_eval,352,0.3778409090909091,0.6221590909090909,0.0,-1.894780228040254e-06,0.5696439041378882,-1.894780228040254e-06,-4.865085049610345e-06,6.637818329522894e-06,-7.076677982176778e-06,0.9379850752345678,0.0008828298378265,-0.0015497924780967,-0.0006669626402701,3.346163945339118e-05,-1.8635900589298567e-05,-0.000715731868181,-0.0006669626402701,1.0878331473317764e-05,-0.9318610361240458,-3.8223622666938617,-10.346533083445928,0.0004450151282567,7.869139954941284e-06,-4.517549360611493,5,9,0,76,76,70.4,35,94,71.0,93.2,0.0089999999999999,0.009,0.009,0.009,5,2026-04-20 01:02:00+00:00,2026-04-24 16:35:00+00:00,99926.97034275148,5,0.0,-0.000133392528054,0.0,-0.000133392528054,-4.844663724475754e-05,-0.0002384983778375,2,0.0,-0.000333481320135,0.0,-0.000333481320135,-0.0001452469117719,-0.0005217157284982,1,0.0,-0.0006669626402701,0.0,-0.0006669626402701,-0.0006669626402701,-0.0006669626402701,0.0,-0.000133392528054,0.009,0.009,0.009,,0.0,0.0,0.0,357,347,337,,,338581.0,322.03578769997694,318.4542251206585,3516.6436292,1051.3769243565396,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-02T00:02:13.772072+00:00,configs/dev_quality_postfix.yaml,dev_quality_postfix,artifacts\realtime_backtest\dev_quality_postfix_20260502,,2026-04-20 18:04:00+00:00,2026-04-27 05:59:00+00:00,,191,0.3612565445026178,0.6387434554973822,0.0,-2.1691953864992945e-06,0.5393638112924082,-2.1691953864992945e-06,-5.059714364932961e-06,7.030831639484717e-06,-7.372489360211566e-06,0.9536577532996203,0.0004851273831244455,-0.000899443701945811,-0.00041431631882136527,3.226254408225067e-05,-1.9291486727584078e-05,-0.0004529883026145125,-0.0004143163188213654,3.3258592053475117e-06,-0.914629177906043,-4.201570505563728,-11.418043630545291,0.0002868395803814088,8.19572328516583e-06,-3.6578683348179033,5,15,0,48,48,38.2,3,61,41.0,60.6,0.008999999999999998,0.009,0.009,0.009,5,2026-04-20 22:06:00+00:00,2026-04-24 16:07:00+00:00,99955.13127714116,5,0.0,-8.286326376427306e-05,0.0,-8.286326376427306e-05,-2.6444040701233134e-06,-0.000195104309638904,2,0.0,-0.00020715815941068266,0.0,-0.00020715815941068266,-2.6444040701233134e-06,-0.000411671914751242,1,0.0,-0.0004143163188213653,0.0,-0.0004143163188213653,-0.0004143163188213653,-0.0004143163188213653,0.0,-8.286326376427306e-05,0.009,0.009,0.009,,,,,0,0,0,,,5940.0,3.778875500021968,3.6660410021431744,55.122545499994885,1571.8921964422948,,cm-6b834304d7df,6b834304d7df,"{""allow_dual_asset_trades"": true, ""commission_bps"": 0.2, ""min_context_score"": 0.52, ""min_expected_return_r"": 0.0, ""min_trade_probability"": 0.58, ""one_trade_per_asset"": true, ""slippage_bps"": 0.5, ""spread_bps"": 0.8, ""use_confidence_in_routing"": false}",3.0,0.0,0.0,0.7486910994764397,FAIL,False,0.05,5.0,4.0,191.0,3.0,"['liquidity_sweep_reversal', 'session_open_momentum', 'trend_continuation']",143.0,44.0,4.0,0.7486910994764397,0.23036649214659685,0.020942408376963352,False,False,False
